asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B09X7F2GCG,"TracFone TCL Flip 2, 8GB, Black - Prepaid Flip Phone (Locked)",$19.99,,USD,4,784,https://www.amazon.com/dp/B09X7F2GCG,https://m.media-amazon.com/images/I/71S0voBvL8L._AC_UY654_FMwebp_QL65_.jpg,1,$19.99,False,False,True,False,500+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 2",False
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$349.95,$415.00,USD,4.2,3862,https://www.amazon.com/dp/B09LKXHWCF,https://m.media-amazon.com/images/I/71uVYy3PbCL._AC_UY654_FMwebp_QL65_.jpg,13,$295.86,False,False,True,True,1K+ bought in past month,"FREE delivery Thu, Aug 8 Only 1 left in stock - order soon.",True
B0CSDY4NSF,Xiaomi Redmi Note 13 PRO 5G + 4G LTE (256GB + 8GB) 6.67&quot; 200MP Triple (Tmobile Mint Tello &amp; Global) GLOBAL Bands Unlocked + (Fast Car Dual Charger Bundle) (Aurora Purple (Global ROM)),$287.50,,USD,4.7,2491,https://www.amazon.com/dp/B0CSDY4NSF,https://m.media-amazon.com/images/I/61vFWIksgcL._AC_UY654_FMwebp_QL65_.jpg,7,$232.99,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1 Only 7 left in stock - order soon.",True
B00IXWW4W4,Panasonic DECT 6.0 Expandable Cordless Phone with Answering Machine and Call Block and Caller ID - 2 Cordless Handsets - KX-TGC222S (Silver),$54.99,,USD,4.2,3139,https://www.amazon.com/dp/B00IXWW4W4,https://m.media-amazon.com/images/I/71XN6Olp2tL._AC_UY654_FMwebp_QL65_.jpg,5,$22.15,False,False,True,False,400+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$349.95,$415.00,USD,4.2,3862,https://www.amazon.com/dp/B09LKXHWCF,https://m.media-amazon.com/images/I/71uVYy3PbCL._AC_UY654_FMwebp_QL65_.jpg,13,$295.86,False,False,True,True,1K+ bought in past month,"FREE delivery Thu, Aug 8 Only 1 left in stock - order soon.",True
B0CSDY4NSF,Xiaomi Redmi Note 13 PRO 5G + 4G LTE (256GB + 8GB) 6.67&quot; 200MP Triple (Tmobile Mint Tello &amp; Global) GLOBAL Bands Unlocked + (Fast Car Dual Charger Bundle) (Aurora Purple (Global ROM)),$287.50,,USD,4.7,2491,https://www.amazon.com/dp/B0CSDY4NSF,https://m.media-amazon.com/images/I/61vFWIksgcL._AC_UY654_FMwebp_QL65_.jpg,7,$232.99,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1 Only 7 left in stock - order soon.",True
B0CNPJGCTJ,"HelloBaby DECT 6.0 Cordless Phone Handset for Home with Caller ID/Call Waiting, Call Block, Full-Duplex Handset Speakerphone, Blue Backlit Display &amp; Big Buttons, Reliable 1000 ft Range",$17.99,,USD,4,217,https://www.amazon.com/dp/B0CNPJGCTJ,https://m.media-amazon.com/images/I/61wizHmAXsL._AC_UY654_FMwebp_QL65_.jpg,2,$17.81,False,False,True,False,500+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B09ZLCN9D8,"VTech VS112-17 DECT 6.0 Bluetooth Expandable Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID, Intercom and Connect to Cell (Silver &amp; White)",$34.99,$43.95,USD,4.2,12719,https://www.amazon.com/dp/B09ZLCN9D8,https://m.media-amazon.com/images/I/7144N3m29tL._AC_UY654_FMwebp_QL65_.jpg,2,$19.73,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B0BZK2FCJ8,"Panasonic Cordless Phone with Advanced Call Block, Bilingual Caller ID and Easy to Read Large High-Contrast Display, Expandable System with 1 Handset - KX-TGD810B (Black)",$29.99,$34.99,USD,4.3,707,https://www.amazon.com/dp/B0BZK2FCJ8,https://m.media-amazon.com/images/I/71qcUNnQYDL._AC_UY654_FMwebp_QL65_.jpg,4,$14.22,False,False,True,False,1K+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B09DDCGFGJ,"Panasonic Cordless Phone System, Expandable Home Phone with Call Blocking, Bilingual Caller ID and High-Contrast Display, 1 Handset - KX-TGD610B (Black)",$34.49,,USD,4.3,5314,https://www.amazon.com/dp/B09DDCGFGJ,https://m.media-amazon.com/images/I/71c8TK1k0OL._AC_UY654_FMwebp_QL65_.jpg,4,$12.56,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B09B4BB8HP,BLU J9L J0090WW 32GB Dual Sim GSM Unlocked Android Smartphone - Black,$76.99,,USD,4.1,97,https://www.amazon.com/dp/B09B4BB8HP,https://m.media-amazon.com/images/I/71eh-leuCKL._AC_UY654_FMwebp_QL65_.jpg,1,$76.99,False,False,True,False,50+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1 Only 17 left in stock - order soon.",True
B00O5EUBV0,BLU Jenny TV 2.8 T276T Unlocked GSM Dual-SIM Cell Phone w/ 1.3MP Camera - Unlocked Cell Phones - Retail Packaging - Black Blue,$25.99,,USD,3.6,750,https://www.amazon.com/dp/B00O5EUBV0,https://m.media-amazon.com/images/I/816mNMOqfnL._AC_UY654_FMwebp_QL65_.jpg,5,$25.97,False,False,True,False,50+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",True
B0B9RF3V1T,"Ulefone Android 12 Armor 15 Rugged Phone Unlocked, IP68/IP69K, Built-in TWS Earbuds, 11GB+128GB, 4-Day Battery, 16MP+12MP+13MP Camera, Dual Loud Speakers Dual 4G, Octa-core, OTG, GPS, Black",$199.99,,USD,4,73,https://www.amazon.com/dp/B0B9RF3V1T,https://m.media-amazon.com/images/I/71pEXMtrBAL._AC_UY654_FMwebp_QL65_.jpg,1,$199.99,False,False,True,False,,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1 Only 16 left in stock - order soon.",True
B092499CS7,"AT&amp;T CL82267 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black &amp; Wood Grain Finish",$50.45,$65.95,USD,4.3,7512,https://www.amazon.com/dp/B092499CS7,https://m.media-amazon.com/images/I/81lzanxrOVS._AC_UY654_FMwebp_QL65_.jpg,2,$37.58,False,False,True,False,300+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
